CO,NO2,PM25,Temperature,Humidity,AQI_Level,label,prediction
0.0,0.0,14.29666667,25.11,98.48666667,Average,0.0,0.0
0.0,0.0,15.49333333,31.165,72.89,Average,0.0,0.0
0.0,0.0,18.33275862,25.08103448,98.20517241,Average,0.0,0.0
0.0,0.0,18.415,31.14833333,71.32833333,Average,0.0,0.0
0.0,0.0,22.84333333,24.94,98.60833333,Average,0.0,0.0
0.0,0.0,27.84833333,28.49,85.07,Average,0.0,0.0
0.0,0.0,35.31333333,25.45,99.135,Unhealthy,2.0,0.0
0.0,0.0,35.77833333,25.63333333,96.475,Unhealthy,2.0,0.0
0.0,0.0,41.53666667,28.36833333,82.625,Moderate,3.0,3.0
0.0,0.0,42.77333333,25.515,98.99166667,Moderate,3.0,3.0
0.0,0.0,44.45833333,25.745,98.68166667,Moderate,3.0,3.0
0.0,0.0,48.2,28.5,86.1,Moderate,3.0,3.0
0.0,0.0,51.765,25.63666667,98.97166667,Moderate,3.0,2.0
0.0,14.8678,42.47833333,20.4,12.5,Moderate,3.0,3.0
0.0,20.07466667,24.51052632,20.4,12.5,Average,0.0,0.0
0.0,23.22468085,31.25106383,20.4,12.5,Average,0.0,0.0
0.0,31.06894915,30.41355932,20.4,12.5,Average,0.0,0.0
0.0,33.01754386,24.5754386,20.4,12.5,Average,0.0,0.0
0.0,34.26660377,32.67358491,20.4,12.5,Average,0.0,0.0
0.0,38.26733333,33.93666667,20.4,12.5,Average,0.0,0.0
0.0,40.3474386,9.638596491,20.4,12.5,Good,1.0,1.0
0.0,42.03133333,27.73166667,20.4,12.5,Average,0.0,0.0
0.0,42.17216327,38.62244898,20.4,12.5,Moderate,3.0,3.0
0.0,45.2621,33.51333333,29.51333333,62.17333333,Average,0.0,0.0
0.0,46.2972,50.9,20.4,12.5,Moderate,3.0,2.0
0.0,48.14783333,23.57333333,26.89666667,60.72333333,Average,0.0,0.0
0.0,51.25313333,30.99333333,29.49333333,63.6,Average,0.0,0.0
0.0,52.00593333,23.52,20.4,12.5,Average,0.0,0.0
0.0,52.0373,72.58666667,20.4,12.5,Unhealthy,2.0,2.0
0.0,56.25835714,25.81071429,20.4,12.5,Average,0.0,0.0
0.0,56.42863333,26.89,28.30166667,62.18833333,Average,0.0,0.0
0.0,56.46,27.0,20.4,12.5,Average,0.0,0.0
0.0,60.00443333,21.33,20.4,12.5,Average,0.0,0.0
0.0,60.65830769,8.523076923,20.4,12.5,Good,1.0,1.0
0.0,63.7057,16.74666667,20.4,12.5,Average,0.0,0.0
0.0,69.40816,56.948,20.4,12.5,Unhealthy,2.0,2.0
0.0,69.60263333,28.075,20.4,12.5,Average,0.0,0.0
0.0,70.41816667,9.913333333,20.4,12.5,Good,1.0,1.0
0.0,70.88866667,17.35166667,20.4,12.5,Average,0.0,0.0
0.0,71.45326667,46.07166667,20.4,12.5,Moderate,3.0,3.0
0.0,71.48463333,16.76666667,20.4,12.5,Average,0.0,0.0
0.0,71.516,12.20833333,20.4,12.5,Unhealthy,2.0,2.0
0.0,72.3629,19.725,20.4,12.5,Average,0.0,0.0
0.0,72.42563333,27.34166667,20.4,12.5,Average,0.0,0.0
0.0,73.70596364,28.99090909,20.4,12.5,Average,0.0,0.0
0.0,74.55856667,33.725,20.4,12.5,Average,0.0,0.0
0.0,75.24863333,15.69666667,20.4,12.5,Average,0.0,0.0
0.0,75.32705,26.87,20.4,12.5,Average,0.0,0.0
